budget, difference in mean,difference in position,total vectors 
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-9.98361793814,1,1000
20,-9.98361793814,1,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
20,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-20.005279657,2,1000
40,-9.98361793814,1,1000
40,-9.98361793814,1,1000
40,-9.98361793814,1,1000
